,ST-HSC,MPP,CLP,CMP,GMP,MEP,proB,B cells,DNT,DPT,CD4+T,CD8+T
Lower Bound,140.30406201794267,0.02845873152755693,160.34514760309372,182.7871538359781,0.4579382521247774,0.03879816281380809,25.019892474480017,0.04027215886209424,4.591301632483162,0.0017600357002057754,0.00407107031058607,0.005747586993162966
Upper Bound,265.07413094852245,122.85213539540152,685.1060032504051,847.4713567566099,252.3772522519734,202.48595704920814,270.6171550372709,149.9949140784719,185.87981341732183,71.91110720047061,84.36158056627826,110.88865349597108
